from_asset,to_asset,connection,dependency_score
db010aeb-3f99-4a88-8db4-9df72e29efd0,21d2aa67-bae5-4ac0-80f1-c4f7c326fbf6,db010aeb-3f99-4a88-8db4-9df72e29efd0-->21d2aa67-bae5-4ac0-80f1-c4f7c326fbf6,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,22cc3be1-15c3-47cb-92d7-9eb322962818,db010aeb-3f99-4a88-8db4-9df72e29efd0-->22cc3be1-15c3-47cb-92d7-9eb322962818,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,25ed1d22-791c-4460-9f7d-7d9a47053486,db010aeb-3f99-4a88-8db4-9df72e29efd0-->25ed1d22-791c-4460-9f7d-7d9a47053486,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,26d16602-7c5b-4e2b-9e69-805d15fab147,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->26d16602-7c5b-4e2b-9e69-805d15fab147,3
7e36b821-5094-4421-8784-4c97a03e8a06,2c98a44b-2e1f-4d6b-87b6-f05e8a002ada,7e36b821-5094-4421-8784-4c97a03e8a06-->2c98a44b-2e1f-4d6b-87b6-f05e8a002ada,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,2cfe36bc-78bf-4852-854a-2c33eb2028a0,db010aeb-3f99-4a88-8db4-9df72e29efd0-->2cfe36bc-78bf-4852-854a-2c33eb2028a0,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,2dcf18fd-c593-4a85-b37f-6e37c78e85cc,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->2dcf18fd-c593-4a85-b37f-6e37c78e85cc,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,36ad04ba-89ea-4deb-9f8d-e11e8bb83910,db010aeb-3f99-4a88-8db4-9df72e29efd0-->36ad04ba-89ea-4deb-9f8d-e11e8bb83910,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,38d714c3-6951-4a6d-9702-b32ae1320b4c,db010aeb-3f99-4a88-8db4-9df72e29efd0-->38d714c3-6951-4a6d-9702-b32ae1320b4c,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,395556dd-c4a0-482f-b17d-aa0c2338548a,db010aeb-3f99-4a88-8db4-9df72e29efd0-->395556dd-c4a0-482f-b17d-aa0c2338548a,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,39a55082-9a38-420b-96c9-f8520a9455b1,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->39a55082-9a38-420b-96c9-f8520a9455b1,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,39b69b2d-6a33-4192-8392-7f0477cc6c0f,db010aeb-3f99-4a88-8db4-9df72e29efd0-->39b69b2d-6a33-4192-8392-7f0477cc6c0f,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,3e67e847-6b57-4bba-b5f0-fe2fa407eb27,db010aeb-3f99-4a88-8db4-9df72e29efd0-->3e67e847-6b57-4bba-b5f0-fe2fa407eb27,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,3ffbdf0a-cc60-40d0-8f41-a07abac71d0b,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->3ffbdf0a-cc60-40d0-8f41-a07abac71d0b,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,4462b38b-af9e-44e8-88f8-cac74d11d977,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->4462b38b-af9e-44e8-88f8-cac74d11d977,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,44a2c29a-8021-4531-b5e3-b3bd8dd6d778,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->44a2c29a-8021-4531-b5e3-b3bd8dd6d778,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,4a29802b-804e-4cba-ba7c-b6e00ee0c635,db010aeb-3f99-4a88-8db4-9df72e29efd0-->4a29802b-804e-4cba-ba7c-b6e00ee0c635,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,4a415290-fb46-413f-9507-a0a07952271b,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->4a415290-fb46-413f-9507-a0a07952271b,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,4aabd18b-3abf-4828-b78d-46e5e021fe42,db010aeb-3f99-4a88-8db4-9df72e29efd0-->4aabd18b-3abf-4828-b78d-46e5e021fe42,3
7e36b821-5094-4421-8784-4c97a03e8a06,4fadbda0-44cd-4985-94c4-dd84d7687067,7e36b821-5094-4421-8784-4c97a03e8a06-->4fadbda0-44cd-4985-94c4-dd84d7687067,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,502851fe-a01b-475b-8ea4-7df15abfef92,db010aeb-3f99-4a88-8db4-9df72e29efd0-->502851fe-a01b-475b-8ea4-7df15abfef92,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,52eac10b-b8b9-4b9b-9ee9-10d4a2836e5a,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->52eac10b-b8b9-4b9b-9ee9-10d4a2836e5a,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,53d8c932-f75c-4f35-b5c4-780399bb3368,db010aeb-3f99-4a88-8db4-9df72e29efd0-->53d8c932-f75c-4f35-b5c4-780399bb3368,3
7e36b821-5094-4421-8784-4c97a03e8a06,58e3014e-4d33-42d0-8b84-86b766ce3b30,7e36b821-5094-4421-8784-4c97a03e8a06-->58e3014e-4d33-42d0-8b84-86b766ce3b30,3
